DepDelay,Origin,Dest,CRSDepTime,Distance,ArrDel15,ArrDelay,DepHour
-12.0,MSP,XWA,1008,553.0,0.0,-24.0,10
-1.0,SEA,LAS,945,867.0,0.0,-23.0,9
28.0,CLT,PVD,1220,683.0,1.0,23.0,12
-12.0,DCA,ORD,1740,612.0,0.0,-13.0,17
-7.0,MSY,DFW,724,447.0,0.0,4.0,7
1.0,ATL,JFK,955,760.0,0.0,-13.0,9
13.0,ORD,ATL,1347,606.0,0.0,-3.0,13
44.0,DCA,CLE,1522,310.0,1.0,28.0,15
9.0,EWR,LAS,2103,2227.0,0.0,-27.0,21
52.0,RSW,STL,1350,979.0,1.0,51.0,13
-3.0,SEA,DEN,700,1024.0,0.0,-8.0,7
-1.0,MSP,RSW,1312,1416.0,0.0,-11.0,13
77.0,MDW,MEM,2155,480.0,1.0,74.0,21
-5.0,ORD,HPN,1829,738.0,0.0,-23.0,18
2.0,TPA,STL,1355,869.0,0.0,-10.0,13
-6.0,OGG,LIH,1100,201.0,0.0,-6.0,11
56.0,OMA,PHX,759,1037.0,1.0,45.0,7
-3.0,SLC,OAK,1524,588.0,0.0,-10.0,15
-5.0,ATL,IAH,1151,689.0,0.0,-2.0,11
-4.0,GEG,PHX,1405,1020.0,0.0,-32.0,14
-9.0,PHL,CMH,1622,406.0,0.0,-7.0,16
1.0,SEA,SLC,1340,689.0,0.0,7.0,13
-7.0,IND,DFW,1921,761.0,0.0,-30.0,19
12.0,MDW,LAX,1545,1750.0,1.0,16.0,15
152.0,JFK,AUS,1459,1521.0,1.0,157.0,14
4.0,DFW,SFO,2012,1464.0,0.0,5.0,20
-2.0,PHX,DFW,705,868.0,0.0,-14.0,7
-5.0,CLT,BHM,1606,350.0,0.0,-21.0,16
-5.0,SUN,DEN,1425,557.0,0.0,-16.0,14
-9.0,SNA,DFW,1643,1205.0,1.0,45.0,16
208.0,IAD,DFW,1710,1172.0,1.0,201.0,17
64.0,BDL,MCO,2043,1050.0,1.0,39.0,20
-3.0,BHM,DAL,845,587.0,0.0,-2.0,8
-4.0,DFW,MHK,901,431.0,0.0,-6.0,9
-2.0,ORD,IAH,610,925.0,0.0,-26.0,6
-1.0,SFO,LAS,830,414.0,0.0,1.0,8
-5.0,XNA,CLT,1820,754.0,0.0,-3.0,18
-2.0,JFK,SAN,840,2446.0,0.0,-29.0,8
-5.0,DFW,ROW,1121,435.0,0.0,-15.0,11
-3.0,SJC,LAS,1505,386.0,0.0,2.0,15
43.0,CMH,ORD,720,296.0,1.0,27.0,7
31.0,JAX,DCA,1909,634.0,1.0,25.0,19
13.0,DFW,LAX,1500,1235.0,0.0,13.0,15
-2.0,CLE,ORD,1105,316.0,0.0,-24.0,11
4.0,LAS,BLI,1315,954.0,0.0,-4.0,13
-6.0,MCO,ATL,1643,404.0,1.0,88.0,16
-5.0,MAF,DFW,1230,309.0,0.0,4.0,12
0.0,LGA,HOU,610,1428.0,0.0,-2.0,6
904.0,SLC,SJC,2253,584.0,1.0,883.0,22
9.0,SAN,PHX,1235,304.0,0.0,8.0,12
29.0,MSY,AUS,1615,444.0,1.0,17.0,16
-7.0,CLT,ECP,1503,437.0,0.0,-9.0,15
-3.0,ORD,HPN,817,738.0,1.0,19.0,8
6.0,PIE,XNA,1206,892.0,0.0,-3.0,12
289.0,CAK,ORD,1338,343.0,1.0,289.0,13
