AirportCode,AirportName,City,State,Latitude,Longitude,HubTier
ABE,ABE Airport,ABE,US,38.0,-95.0,15 - 30
ABI,ABI Airport,ABI,US,38.0,-95.0,15 - 30
ABQ,ABQ Airport,ABQ,US,38.0,-95.0,15 - 30
ABR,ABR Airport,ABR,US,38.0,-95.0,15 - 30
ABY,ABY Airport,ABY,US,38.0,-95.0,15 - 30
ACK,ACK Airport,ACK,US,38.0,-95.0,15 - 30
ACT,ACT Airport,ACT,US,38.0,-95.0,15 - 30
ACV,ACV Airport,ACV,US,38.0,-95.0,15 - 30
ACY,ACY Airport,ACY,US,38.0,-95.0,15 - 30
ADK,ADK Airport,ADK,US,38.0,-95.0,15 - 30
ADQ,ADQ Airport,ADQ,US,38.0,-95.0,15 - 30
AEX,AEX Airport,AEX,US,38.0,-95.0,15 - 30
AGS,AGS Airport,AGS,US,38.0,-95.0,15 - 30
AKN,AKN Airport,AKN,US,38.0,-95.0,15 - 30
ALB,ALB Airport,ALB,US,38.0,-95.0,15 - 30
ALO,ALO Airport,ALO,US,38.0,-95.0,15 - 30
ALW,ALW Airport,ALW,US,38.0,-95.0,15 - 30
AMA,AMA Airport,AMA,US,38.0,-95.0,15 - 30
ANC,ANC Airport,ANC,US,38.0,-95.0,15 - 30
APN,APN Airport,APN,US,38.0,-95.0,15 - 30
ASE,ASE Airport,ASE,US,38.0,-95.0,15 - 30
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.6407,-84.4277,> 60
ATW,ATW Airport,ATW,US,38.0,-95.0,15 - 30
AUS,AUS Airport,AUS,US,38.0,-95.0,15 - 30
AVL,AVL Airport,AVL,US,38.0,-95.0,15 - 30
AVP,AVP Airport,AVP,US,38.0,-95.0,15 - 30
AZA,AZA Airport,AZA,US,38.0,-95.0,15 - 30
AZO,AZO Airport,AZO,US,38.0,-95.0,15 - 30
BDL,BDL Airport,BDL,US,38.0,-95.0,15 - 30
BET,BET Airport,BET,US,38.0,-95.0,15 - 30
BFF,BFF Airport,BFF,US,38.0,-95.0,15 - 30
BFL,BFL Airport,BFL,US,38.0,-95.0,15 - 30
BGM,BGM Airport,BGM,US,38.0,-95.0,15 - 30
BGR,BGR Airport,BGR,US,38.0,-95.0,15 - 30
BHM,BHM Airport,BHM,US,38.0,-95.0,15 - 30
BIH,BIH Airport,BIH,US,38.0,-95.0,15 - 30
BIL,BIL Airport,BIL,US,38.0,-95.0,15 - 30
BIS,BIS Airport,BIS,US,38.0,-95.0,15 - 30
BJI,BJI Airport,BJI,US,38.0,-95.0,15 - 30
BLI,BLI Airport,BLI,US,38.0,-95.0,15 - 30
BLV,BLV Airport,BLV,US,38.0,-95.0,15 - 30
BMI,BMI Airport,BMI,US,38.0,-95.0,15 - 30
BNA,BNA Airport,BNA,US,38.0,-95.0,15 - 30
BOI,BOI Airport,BOI,US,38.0,-95.0,15 - 30
BOS,BOS Airport,BOS,US,38.0,-95.0,15 - 30
BPT,BPT Airport,BPT,US,38.0,-95.0,15 - 30
BQK,BQK Airport,BQK,US,38.0,-95.0,15 - 30
BQN,BQN Airport,BQN,US,38.0,-95.0,15 - 30
BRD,BRD Airport,BRD,US,38.0,-95.0,15 - 30
BRO,BRO Airport,BRO,US,38.0,-95.0,15 - 30
BRW,BRW Airport,BRW,US,38.0,-95.0,15 - 30
BTM,BTM Airport,BTM,US,38.0,-95.0,15 - 30
BTR,BTR Airport,BTR,US,38.0,-95.0,15 - 30
BTV,BTV Airport,BTV,US,38.0,-95.0,15 - 30
BUF,BUF Airport,BUF,US,38.0,-95.0,15 - 30
BUR,BUR Airport,BUR,US,38.0,-95.0,15 - 30
BWI,BWI Airport,BWI,US,38.0,-95.0,15 - 30
BZN,BZN Airport,BZN,US,38.0,-95.0,15 - 30
CAE,CAE Airport,CAE,US,38.0,-95.0,15 - 30
CAK,CAK Airport,CAK,US,38.0,-95.0,15 - 30
CDC,CDC Airport,CDC,US,38.0,-95.0,15 - 30
CDV,CDV Airport,CDV,US,38.0,-95.0,15 - 30
CHA,CHA Airport,CHA,US,38.0,-95.0,15 - 30
CHO,CHO Airport,CHO,US,38.0,-95.0,15 - 30
CHS,CHS Airport,CHS,US,38.0,-95.0,15 - 30
CID,CID Airport,CID,US,38.0,-95.0,15 - 30
CIU,CIU Airport,CIU,US,38.0,-95.0,15 - 30
CKB,CKB Airport,CKB,US,38.0,-95.0,15 - 30
CLE,CLE Airport,CLE,US,38.0,-95.0,15 - 30
CLL,CLL Airport,CLL,US,38.0,-95.0,15 - 30
CLT,CLT Airport,CLT,US,38.0,-95.0,15 - 30
CMH,CMH Airport,CMH,US,38.0,-95.0,15 - 30
CMI,CMI Airport,CMI,US,38.0,-95.0,15 - 30
CMX,CMX Airport,CMX,US,38.0,-95.0,15 - 30
CNY,CNY Airport,CNY,US,38.0,-95.0,15 - 30
COD,COD Airport,COD,US,38.0,-95.0,15 - 30
COS,COS Airport,COS,US,38.0,-95.0,15 - 30
COU,COU Airport,COU,US,38.0,-95.0,15 - 30
CPR,CPR Airport,CPR,US,38.0,-95.0,15 - 30
CRP,CRP Airport,CRP,US,38.0,-95.0,15 - 30
CRW,CRW Airport,CRW,US,38.0,-95.0,15 - 30
CSG,CSG Airport,CSG,US,38.0,-95.0,15 - 30
CVG,CVG Airport,CVG,US,38.0,-95.0,15 - 30
CWA,CWA Airport,CWA,US,38.0,-95.0,15 - 30
CYS,CYS Airport,CYS,US,38.0,-95.0,15 - 30
DAB,DAB Airport,DAB,US,38.0,-95.0,15 - 30
DAL,DAL Airport,DAL,US,38.0,-95.0,15 - 30
DAY,DAY Airport,DAY,US,38.0,-95.0,15 - 30
DCA,DCA Airport,DCA,US,38.0,-95.0,15 - 30
DDC,DDC Airport,DDC,US,38.0,-95.0,15 - 30
DEC,DEC Airport,DEC,US,38.0,-95.0,15 - 30
DEN,Denver International,Denver,CO,39.8561,-104.6737,15 - 30
DFW,Dallas/Fort Worth International,Dallas,TX,32.8998,-97.0403,30 - 60
DHN,DHN Airport,DHN,US,38.0,-95.0,15 - 30
DIK,DIK Airport,DIK,US,38.0,-95.0,15 - 30
DLG,DLG Airport,DLG,US,38.0,-95.0,15 - 30
DLH,DLH Airport,DLH,US,38.0,-95.0,15 - 30
DRO,DRO Airport,DRO,US,38.0,-95.0,15 - 30
DRT,DRT Airport,DRT,US,38.0,-95.0,15 - 30
DSM,DSM Airport,DSM,US,38.0,-95.0,15 - 30
DTW,DTW Airport,DTW,US,38.0,-95.0,15 - 30
