FlightDate,Reporting_Airline,Origin,Dest,CRSDepTime,DepDelay,CRSArrTime,ArrDelay,ArrDel15,Cancelled,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FlightID,DateKey
2023-04-11,F9,DFW,DEN,1637,-9.0,1749,-25.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,100001,20230411
2023-04-14,DL,ORD,LGA,610,2.0,921,-5.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,100002,20230414
2023-01-08,WN,CVG,MDW,2000,-4.0,2010,-15.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,100003,20230108
2023-07-10,AA,FLL,DFW,1934,41.0,2145,16.0,1.0,0.0,1119.0,0.0,15.0,0.0,0.0,1.0,100004,20230710
2023-07-17,UA,ORD,LGA,1044,-5.0,1357,-12.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,100005,20230717
2023-10-25,UA,IAH,MCO,1822,14.0,2147,8.0,0.0,0.0,854.0,0.0,0.0,0.0,0.0,0.0,100006,20231025
2023-04-21,DL,MSP,DCA,1100,-3.0,1426,-3.0,0.0,0.0,931.0,0.0,0.0,0.0,0.0,0.0,100007,20230421
2023-07-30,UA,EWR,ORD,1959,55.0,2138,41.0,1.0,0.0,719.0,41.0,0.0,0.0,0.0,0.0,100008,20230730
2023-04-05,MQ,HPN,ORD,1700,10.0,1833,95.0,1.0,0.0,738.0,0.0,10.0,85.0,0.0,0.0,100009,20230405
2023-01-24,WN,SAT,DAL,1520,17.0,1630,7.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,100010,20230124
2023-10-18,OH,DCA,ROC,1531,-10.0,1713,-31.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,100011,20231018
2023-10-15,OO,SFO,PSP,2056,-6.0,2230,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,100012,20231015
2023-04-19,MQ,DFW,SDF,1040,12.0,1355,-3.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,100013,20230419
2023-04-03,AA,PHL,LAS,845,-3.0,1117,2.0,0.0,0.0,2176.0,0.0,0.0,0.0,0.0,0.0,100014,20230403
2023-04-18,OO,HYS,DEN,1859,3.0,1920,14.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,100015,20230418
2023-07-17,DL,ATL,EWR,1338,32.0,1554,15.0,1.0,0.0,746.0,15.0,0.0,0.0,0.0,0.0,100016,20230717
2023-07-19,DL,MSP,MKE,1545,12.0,1657,-3.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,100017,20230719
2023-01-19,WN,JAX,BWI,810,-6.0,1000,-10.0,0.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,100018,20230119
2023-07-24,YX,ORD,IND,1941,13.0,2154,-6.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,100019,20230724
2023-04-04,WN,MCO,CMH,1705,5.0,1925,0.0,0.0,0.0,802.0,0.0,0.0,0.0,0.0,0.0,100020,20230404
2023-10-24,AS,SFO,HNL,1138,-4.0,1415,2.0,0.0,0.0,2398.0,0.0,0.0,0.0,0.0,0.0,100021,20231024
2023-01-20,OO,TUS,LAX,1320,-4.0,1404,-5.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0,100022,20230120
2023-10-14,F9,ATL,FLL,1327,97.0,1523,123.0,1.0,0.0,581.0,97.0,0.0,26.0,0.0,0.0,100023,20231014
2023-04-17,YX,SYR,DCA,1220,-6.0,1345,-14.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,100024,20230417
